"#","ML#","Type","","Curr Price","Status","Address","Subd/Complex","Area","City","County","Total Bedrooms","Total Full Baths","Total Half Baths","Year Built","Photo Count","List Date","Expiration Date","Closing Date"
"1","5790068","DET","","$157,500","A","100 Ridgeview Drive SE","Ridgewood Estates Sec. 6","354","Silver Creek","Floyd","4","3","0","1976","18","01/06/2017","",""
"1","5790039","DET","","$156,000","A","8140 Brookbend Drive","Chicago Park","91","Douglasville","Douglas","3","2","1","2007","14","01/06/2017","",""
"1","5790252","DET","","$155,000","A","54 Brookvalley Commons","Barrett Chase","191","Dallas","Paulding","4","2","1","2004","27","01/06/2017","",""
"1","5790294","DET","","$155,000","A","260 Magnolia Walk Lane","Magnolia Walk","33","College Park","Fulton","5","2","1","1999","21","01/06/2017","",""
"1","5790282","DET","","$154,900","A","4006 Golfview Drive","Fairfield Plantation","231","Villa Rica","Carroll","3","2","1","1986","23","01/06/2017","",""
"1","5790348","DET","","$154,900","A","5444 Oliver Court NW","Dickens Trail","64","Lilburn","Gwinnett","3","2","1","1979","27","01/06/2017","",""
"1","5790175","DET","","$151,000","A","657 Morningside Drive N","Melrose","211","Stockbridge","Henry","3","2","1","2001","11","01/06/2017","",""
"1","5771062","ATT","","$150,000","A","2887 Royal Path Court","Royal Towne Park","52","Decatur","Dekalb","3","2","1","1983","25","01/06/2017","",""
"1","5790092","ATT","","$150,000","A","3060 Pharr Court N Unit#516","Habersham Estates","21","Atlanta","Fulton","2","1","0","1970","17","01/06/2017","",""
"1","5790298","DET","","$150,000","A","285 Foster Trace Drive","Foster Trace","63","Lawrenceville","Gwinnett","4","2","1","1997","1","01/06/2017","",""
"1","5790332","ATT","","$150,000","A","2430 Clock Face Court","Little Suwanee Pointe","63","Lawrenceville","Gwinnett","2","2","1","2005","31","01/06/2017","",""
"1","5790383","DET","","$150,000","A","1906 Twin Falls Road","N/A","41","Decatur","Dekalb","3","2","1","1967","6","01/07/2017","",""
"1","5790085","DET","","$149,900","A","2988 Fetlock Drive SW","Horseshoe Ridge","73","Marietta","Cobb","3","2","0","1984","27","01/06/2017","",""
"1","5790220","ATT","","$149,900","A","5056 Laurel Bridge Drive","Laurel Springs","72","Smyrna","Cobb","2","2","1","1985","23","01/06/2017","",""
"1","5790172","DET","","$145,000","A","4068 Brantley Drive","Concord Station","72","Austell","Cobb","3","3","0","1991","39","01/06/2017","",""
"1","5790083","DET","","$141,900","A","1813 Calloway Path","Calloway Estates","361","Rockmart","Polk","4","2","0","2003","14","01/06/2017","",""
"1","5790417","DET","","$140,000","A","2841 Laguna Drive","Belvedere Park","52","Decatur","Dekalb","3","1","1","1955","19","01/07/2017","",""
"1","5789918","DET","","$135,000","A","66 Trevor Way","Courthouse Park","192","Temple","Paulding","3","2","0","2007","18","01/06/2017","",""
"1","5790113","DET","","$135,000","A","839 Churchill Court","Countryside Manor","42","Stone Mountain","Dekalb","3","3","0","1988","22","01/06/2017","",""
"1","5790246","DET","","$135,000","A","275 Radcliffe Trace","Radcliffe Trace","151","Covington","Newton","3","2","1","1996","1","01/06/2017","",""
"1","5787002","DET","","$134,900","A","2850 Mountain View Road","Gw Darracott","261","Gainesville","Hall","3","1","0","1955","21","01/06/2017","",""
"1","5789980","DET","","$134,900","A","3224 Bright Star Road","None","91","Douglasville","Douglas","3","2","0","1973","32","01/06/2017","",""
"1","5790174","DET","","$133,000","A","4004 OAKWOD Road","BJ REED","265","Oakwood","Hall","3","1","0","1988","2","01/06/2017","",""
"1","5790259","DET","","$130,000","A","22 pebble brook Court SW","COVERED BRIDGE SPRINGS","202","Euharlee","Bartow","3","2","0","1993","15","01/06/2017","",""
"1","5789971","DET","","$129,900","A","513 Cedar Lane","Young Heights","141","Monroe","Walton","3","2","1","1971","14","01/06/2017","",""
"1","5790315","DET","","$129,900","A","6245 Kimberly Mill Road","Beaver Creek","32","College Park","Fulton","3","2","0","1982","16","01/06/2017","",""
"1","5790098","DET","","$129,000","A","4416 Huntshire Drive","Hambrick Downs","42","Stone Mountain","Dekalb","4","2","1","1971","15","01/06/2017","",""
"1","5790124","ATT","","$127,625","A","123 Streamside Drive","Hembree Creek","13","Roswell","Fulton","2","2","0","1996","28","01/06/2017","",""
"1","5790397","DET","","$127,500","A","14 Laurel Cove SW","Westminster","202","Euharlee","Bartow","3","2","0","1998","10","01/07/2017","",""
"1","5790016","DET","","$124,900","A","18 Amanda Drive","New Georgia Meadows","191","Dallas","Paulding","3","2","0","1990","16","01/06/2017","",""
"1","5790030","ATT","","$124,900","A","3120 Seven Pines Court Unit#303","Vinings View","71","Atlanta","Cobb","2","1","0","1975","8","01/06/2017","",""
"1","5790255","DET","","$124,900","A","1971 Winchester Court SW","Cherokee Trails","72","Marietta","Cobb","3","1","2","1970","10","01/06/2017","",""
"1","5789958","DET","","$120,000","A","935 Little River Road","None","151","Social Circle","Newton","3","2","0","1993","40","01/06/2017","",""
"1","5789434","ATT","","$119,900","A","4333 Dunwoody Park Unit#2309","Terraces Of Dunwoody","121","Atlanta","Dekalb","1","1","0","2001","27","01/06/2017","",""
"1","5790400","ATT","","$115,000","A","32 Peachtree Street NW Unit#601","William Oliver","22","Atlanta","Fulton","1","1","0","1930","14","01/07/2017","",""
"1","5790135","DET","","$114,900","A","5885 S Gordon Road","none","72","Austell","Cobb","2","2","0","1955","0","01/06/2017","",""
"1","5790336","DET","","$114,000","A","680 Stoneside Drive","Mountain View Estate","42","Stone Mountain","Dekalb","4","2","1","1982","9","01/07/2017","",""
"1","5790413","DET","","$109,900","A","4843 Martins Crossing Road","Martin Crossing","42","Stone Mountain","Dekalb","3","2","0","1978","15","01/07/2017","",""
"1","5790438","DET","","$109,900","A","2323 Wilkins Cove","Wilkins Cove","42","Decatur","Dekalb","3","2","1","1988","26","01/07/2017","",""
"1","5790223","DET","","$104,900","A","626 Mincey Court","Stonewood","42","Stone Mountain","Dekalb","3","2","0","1969","0","01/06/2017","",""
"1","5790208","ATT","","$102,900","A","490 Barnett Shoals Unit#419","Woodlands of Athens","371","Athens","Clarke","2","2","1","2004","9","01/06/2017","",""
"1","5790331","DET","","$100,000","A","2437 Felker Ward St NW","Riverside","22","Atlanta","Fulton","4","2","0","1980","6","01/07/2017","",""
"1","5790317","DET","","$96,000","A","211 Robin Hood Road NE","Sherwood Forest","353","Rome","Floyd","3","2","0","1996","32","01/06/2017","",""
"1","5790265","ATT","","$95,203","A","1269 Keys Lake Drive NE Unit#1269","Keys Lake","51","Brookhaven","Dekalb","1","1","0","1985","0","01/06/2017","",""
"1","5790310","DET","","$94,000","A","5941 Pattillo Lane","Pattillo Lakes","42","Lithonia","Dekalb","3","2","1","1987","11","01/06/2017","",""
"1","5790414","DET","","$93,000","A","2345 Leith Avenue","Conley Hilld","31","East Point","Fulton","3","2","1","1956","1","01/07/2017","",""
"1","5790027","DET","","$85,000","A","14 Winter Wood Cove","Country Crossing","202","Taylorsville","Bartow","3","2","0","1990","5","01/06/2017","",""
"1","5790422","ATT","","$80,000","A","1166 Booth Road SW Unit#207","CORAL RIDGE","73","Marietta","Cobb","2","2","0","1994","1","01/07/2017","",""
"1","5790233","DET","","$50,000","A","15 Bobwhite Drive","None","278","Dahlonega","Lumpkin","2","1","0","1992","20","01/06/2017","",""
"1","5790396","DET","","$50,000","A","279 Hummingbird Way","Mockingbird Hill","161","Riverdale","Clayton","3","2","0","1962","3","01/07/2017","",""
"1","5790177","DET","","$49,900","A","1201 Siesta Lane","Tyson Estates","112","Acworth","Cherokee","3","2","0","1971","17","01/06/2017","",""
"1","5790169","DET","","$45,720","A","270 Woodridge Circle","WOODRIDGE","371","Athens","Clarke","3","2","0","1996","3","01/06/2017","",""
"1","5790403","DET","","$34,900","A","849 Norwood Road SE","Norwood","32","Atlanta","Fulton","3","1","0","1955","3","01/07/2017","",""
