"#","ML#","Type","","Curr Price","Status","Address","Subd/Complex","Area","City","County","Total Bedrooms","Total Full Baths","Total Half Baths","Year Built","Photo Count","List Date","Expiration Date","Closing Date"
"1","5790237","ATT","","$395,000","A","360 Chambers Street Unit#103","Woodstock Downtown","113","Woodstock","Cherokee","2","2","1","2007","1","01/06/2017","",""
"1","5789991","DET","","$383,758","A","6714 Birch Bark Way","Sterling On The Lake","265","Flowery Branch","Hall","3","3","1","2016","18","01/06/2017","",""
"1","5790144","DET","","$380,910","A","105 Carmichael Drive","Carmichael Farms","111","Canton","Cherokee","5","4","0","2017","0","01/06/2017","",""
"1","5790073","ATT","","$380,000","A","3512 Paces Place Unit#3512","Paces Place","22","Atlanta","Fulton","2","2","2","1962","28","01/06/2017","",""
"1","5790154","DET","","$379,000","A","180A Honeysuckle Road","Lakeview Est 46A","484","Milledgeville","Baldwin","3","3","0","1997","28","01/06/2017","",""
"1","5790155","DET","","$379,000","A","1645 Skymist Way","Thorngate","222","Cumming","Forsyth","6","5","0","2007","36","01/06/2017","",""
"1","5790183","DET","","$375,000","A","120 W Point Trail","Towne Lake Hills West","112","Woodstock","Cherokee","4","3","1","1994","40","01/06/2017","",""
"1","5790390","DET","","$375,000","A","4900 Chimney Oaks Dr Drive SE","Chimney Oaks","72","Mableton","Cobb","5","3","1","2002","9","01/07/2017","",""
"1","5789994","DET","","$374,900","A","91 Hillcrest Drive","None","13","Roswell","Fulton","4","3","0","1960","27","01/06/2017","",""
"1","5790132","DET","","$368,900","A","118 Jaclaire Lane","Crumbley Estates","211","Mcdonough","Henry","4","3","1","2007","35","01/06/2017","",""
"1","5790410","DET","","$365,000","A","1555 Chattahoochee Run Drive","Chattahoochee Run","62","Suwanee","Gwinnett","4","2","1","1999","0","01/07/2017","",""
"1","5790308","DET","","$364,900","A","6770 Birch Bark Way","Sterling on the Lake","265","Flowery Branch","Hall","4","3","0","2016","0","01/06/2017","",""
"1","5790311","DET","","$364,900","A","6762 Birch Bark Way Way","Sterling on the Lake","265","Flowery Branch","Hall","4","3","1","2016","19","01/06/2017","",""
"1","5790322","DET","","$364,900","A","6718 Birch Bark Way","Sterling on the Lake","265","Flowery Branch","Hall","4","3","0","2016","21","01/06/2017","",""
"1","5790029","DET","","$359,000","A","1310 North Point Way","North Point","13","Roswell","Fulton","4","2","1","1972","21","01/06/2017","",""
"1","5789965","DET","","$349,900","A","262 Thorncliff Landing","Bentwater","191","Acworth","Paulding","4","3","0","2004","28","01/06/2017","",""
"1","5790149","DET","","$346,990","A","1293 Skipping Stone Court","Harbins Landing Estates","66","Dacula","Gwinnett","5","4","0","2016","40","01/06/2017","",""
"1","5789953","DET","","$346,953","A","3357 Meadow Stone Lane","Bogan Meadows","62","Buford","Gwinnett","4","2","1","2017","27","01/06/2017","",""
"1","5790052","DET","","$345,000","A","5305 Brierstone Drive","Waterbrooke","222","Alpharetta","Forsyth","4","3","0","2013","35","01/06/2017","",""
"1","5790182","DET","","$345,000","A","189 Colonial Drive","Eagle Watch","112","Woodstock","Cherokee","4","2","1","1990","40","01/06/2017","",""
"1","5790269","DET","","$345,000","A","168 Cornerstone Circle","Cornerstone Estates","113","Woodstock","Cherokee","4","4","0","2013","40","01/06/2017","",""
"1","5790110","DET","","$344,000","A","5082 Sunset Trail","Woodland Trails","83","Marietta","Cobb","3","2","0","1972","23","01/06/2017","",""
"1","5789992","DET","","$335,000","A","380 Belmont Chase Court","Douglas Downs","14","Alpharetta","Fulton","4","2","1","1992","24","01/06/2017","",""
"1","5790360","DET","","$335,000","A","3594 White Sands Way","Avonlea Crossing","62","Suwanee","Gwinnett","6","3","1","1999","10","01/07/2017","",""
"1","5789984","DET","","$334,900","A","6722 Birch Bark Way","Sterling On The Lake","265","Flowery Branch","Hall","4","3","1","2016","1","01/06/2017","",""
"1","5789989","DET","","$329,900","A","5290 Leeward Run Drive","Leeward Walk","14","Alpharetta","Fulton","4","2","1","1992","24","01/06/2017","",""
"1","5790151","DET","","$329,900","A","918 Champions Way","Lake Dow North","211","Mcdonough","Henry","5","3","1","2002","33","01/06/2017","",""
"1","5790180","DET","","$329,900","A","11410 Crossington Road","Wellington","14","Johns Creek","Fulton","4","2","1","1998","16","01/06/2017","",""
"1","5790028","ATT","","$329,500","A","6014 China Rose Lane","Abbotts Bridge Place","14","Johns Creek","Fulton","4","3","1","2005","31","01/06/2017","",""
"1","5790304","DET","","$324,900","A","440 Hope Hollow Rd","None","65","Loganville","Gwinnett","5","2","1","2001","23","01/06/2017","",""
"1","5790267","DET","","$321,274","A","70 Dupont Court","Senators Ridge","191","Dallas","Paulding","5","4","0","2017","19","01/06/2017","",""
"1","5790238","DET","","$319,000","A","2576 Arldowne Drive","Brymond Acres","41","Tucker","Dekalb","5","3","0","1969","36","01/06/2017","",""
"1","5790025","DET","","$318,000","A","601 Shenandoah Drive NE","Park Place","341","Calhoun","Gordon","6","4","1","1995","16","01/06/2017","",""
"1","5790272","ATT","","$315,000","A","5219 Glenridge Drive","Glenridge","132","Atlanta","Fulton","3","2","1","1972","20","01/06/2017","",""
"1","5790101","DET","","$311,685","A","4260 Spring Ridge Drive","The Springs at Burnt Bridge","223","Cumming","Forsyth","3","2","1","2016","2","01/06/2017","",""
"1","5788939","DET","","$310,000","A","4325 Nesbin Drive NE","Lexington Place","81","Kennesaw","Cobb","5","3","1","2001","40","01/06/2017","",""
"1","5790166","ATT","","$310,000","A","3235 Roswell Road NE Unit#410","Buckhead Village Lofts","21","Roswell","Fulton","1","1","0","1999","25","01/06/2017","",""
"1","5790439","DET","","$305,125","A","109 Twelve Oaks Drive SE","The Reserve at Pettit Creek","202","Cartersville","Bartow","5","4","0","2017","0","01/07/2017","",""
"1","5790038","DET","","$305,000","A","4964 Waterport Way","Ivy Mill","61","Peachtree Corners","Gwinnett","4","3","0","1984","25","01/06/2017","",""
"1","5789988","DET","","$300,000","A","1949 Bonner Street","East Lake Terrace","52","Decatur","Dekalb","3","3","0","2004","26","01/06/2017","",""
"1","5790067","DET","","$300,000","A","643 Gresham Avenue SE","East Atlanta","24","Atlanta","Dekalb","5","4","1","1947","25","01/06/2017","",""
"1","5790210","DET","","$300,000","A","5345 Concord Downs Drive","Concord farms","222","Cumming","Forsyth","4","2","1","2010","31","01/07/2017","",""
"1","5790405","DET","","$300,000","A","377 Sweet Haven Lane","Talking Rock Creek","341","Ranger","Gordon","4","2","1","2003","25","01/07/2017","",""
"1","5790061","DET","","$299,900","A","24 Rocky Mountain Pass","Eagle Mountain","203","Adairsville","Bartow","4","3","1","2004","36","01/06/2017","",""
"1","5790307","DET","","$299,900","A","460 Hope Hollow Rd","None","65","Loganville","Gwinnett","4","2","1","1991","27","01/06/2017","",""
"1","5790445","DET","","$299,900","A","2422 Easy Living Way SW","La Vida Facil","74","Marietta","Cobb","4","2","1","2017","0","01/07/2017","",""
"1","5790079","DET","","$298,135","A","4210 Spring Ridge Drive","The Springs at Burnt Bridge","223","Cumming","Forsyth","4","2","1","2016","8","01/06/2017","",""
"1","5790090","DET","","$296,500","A","6213 Riverview Parkway","Riverstone Park","264","Braselton","Hall","5","3","0","2008","21","01/06/2017","",""
"1","5790431","DET","","$290,435","A","10 Stately Oaks Drive SE","The Reserve at Pettit Creek","202","Cartersville","Bartow","4","4","0","2016","0","01/07/2017","",""
"1","5790142","DET","","$290,000","A","81 Rebecca Street","Legendary Meadows","291","Hoschton","Jackson","4","2","1","2005","24","01/06/2017","",""
"1","5789998","DET","","$289,900","A","105 Towneship Court","Township Place","112","Woodstock","Cherokee","4","3","1","1994","27","01/06/2017","",""
"1","5790280","ATT","","$289,900","A","711 Cosmopolitan Drive NE Unit#326","Cosmopolitan","21","Atlanta","Fulton","2","2","0","2009","11","01/06/2017","",""
"1","5789942","DET","","$289,000","A","911 Lake Court SE","West Smyrna Heights","72","Smyrna","Cobb","3","2","0","1960","22","01/06/2017","",""
"1","5790197","DET","","$289,000","A","448 Glen Creek Way","Glen at Level Creek","62","Sugar Hill","Gwinnett","4","2","1","2002","8","01/06/2017","",""
"1","5790297","DET","","$289,000","A","5690 Southcrest Lane","Southcrest","43","Lithonia","Dekalb","5","4","1","2006","25","01/06/2017","",""
"1","5790241","DET","","$285,000","A","6771 Grand Magnolia Drive","Laurel Park","62","Sugar Hill","Gwinnett","4","2","1","2004","1","01/06/2017","",""
"1","5789680","DET","","$284,900","A","1068 Faith Avenue SE","Ormewood Park","32","Atlanta","Fulton","3","1","0","1945","21","01/06/2017","",""
"1","5790094","DET","","$284,500","A","400 Raven Mocker Lane","Deer Run North","112","Woodstock","Cherokee","5","3","1","1995","24","01/06/2017","",""
"1","5789976","DET","","$284,000","A","256 Double Gate Court","TWIN CREEKS","62","Sugar Hill","Gwinnett","4","2","1","2001","26","01/06/2017","",""
"1","5789229","DET","","$282,500","A","39 Denton Court","Reserve at Westbrook","191","Acworth","Paulding","5","3","0","2014","39","01/06/2017","",""
"1","5790140","DET","","$279,000","A","1790 Habersham Marina Road","Habersham Pointe","224","Cumming","Forsyth","5","3","0","1995","28","01/06/2017","",""
"1","5790349","DET","","$275,000","A","4284 Cabretta Drive SE","Vinings Walk","72","Smyrna","Cobb","3","2","1","1995","20","01/07/2017","",""
"1","5790102","DET","","$274,900","A","867 Tree Fern Way","Vinings Cove","72","Mableton","Cobb","4","2","1","2002","37","01/06/2017","",""
"1","5790385","DET","","$274,900","A","605 Grove Manor Court","Village Grove","62","Suwanee","Gwinnett","3","2","1","2006","13","01/07/2017","",""
"1","5790355","DET","","$270,000","A","2932 Thornbriar Road","Briaridge","41","Atlanta","Dekalb","4","3","0","1969","24","01/07/2017","",""
"1","5790329","DET","","$269,945","A","107 Hickory Village Circle","Hickory Commons","113","Canton","Cherokee","4","3","1","2017","22","01/07/2017","",""
"1","5787279","DET","","$269,900","A","708 Watch Harbor Lane","Wyngate","112","Woodstock","Cherokee","4","2","1","1992","40","01/06/2017","",""
"1","5790263","DET","","$269,500","A","1766 Marietta Road NW","West Midtown","22","Atlanta","Fulton","3","2","0","1940","26","01/06/2017","",""
"1","5790168","ATT","","$269,000","A","3745 Ashford Creek Avenue Unit#1313","Ashford Creek","51","Atlanta","Dekalb","1","1","2","2006","16","01/06/2017","",""
"1","5790356","DET","","$267,070","A","109 Hickory Village Circle","Hickory Commons","113","Canton","Cherokee","3","2","1","2017","22","01/07/2017","",""
"1","5789979","DET","","$265,000","A","3036 Wendlock Drive","Wendwood","82","Marietta","Cobb","3","2","0","1972","19","01/06/2017","",""
"1","5790270","DET","","$264,900","A","2544 Brockton Road","none","293","Jefferson","Jackson","3","2","0","1978","22","01/06/2017","",""
"1","5790245","DET","","$264,500","A","523 Richmond Place","Richmond Place","141","Loganville","Walton","3","2","1","2002","27","01/06/2017","",""
"1","5789968","DET","","$260,000","A","2579 Rosebud Road","None","66","Grayson","Gwinnett","3","2","0","1965","14","01/06/2017","",""
"1","5790009","DET","","$260,000","A","2996 Lone Star Trail","Stonegate","41","Doraville","Dekalb","3","2","0","1964","25","01/06/2017","",""
"1","5790045","ATT","","$260,000","A","170 Boulevard SE Unit#H316","The Stacks","23","Atlanta","Fulton","1","1","0","2006","28","01/06/2017","",""
"1","5790164","DET","","$259,900","A","19 Grove Park Circle","Grove Park","202","Cartersville","Bartow","5","4","0","2005","31","01/06/2017","",""
"1","5790221","DET","","$259,900","A","2292 Cotton Gin Row","Traditions of Braselton","291","Jefferson","Jackson","3","2","1","2008","40","01/06/2017","",""
"1","5790229","DET","","$259,900","A","30 Carriage Lane","Carriage Oaks","191","Powder Springs","Paulding","3","2","0","1995","29","01/06/2017","",""
"1","5790235","DET","","$259,900","A","57 Rocky Mountain Pass","Eagle Mountain","203","Adairsville","Bartow","3","3","0","2004","18","01/06/2017","",""
"1","5790312","DET","","$259,900","A","1861 Shoreline Trace","Waterton","65","Grayson","Gwinnett","3","2","1","1987","28","01/06/2017","",""
"1","5790320","DET","","$259,900","A","2179 Deep Woods Way","Piedmont Forest","82","Marietta","Cobb","4","3","0","1985","29","01/06/2017","",""
"1","5790373","ATT","","$258,500","A","3621 Vinings Slope SE Unit#2222","Vinings Main","71","Atlanta","Cobb","2","2","0","2008","36","01/07/2017","",""
"1","5790424","DET","","$257,940","A","5570 Rialto Way","Bridgetowne","223","Cumming","Forsyth","4","3","1","2017","19","01/07/2017","",""
"1","5790000","DET","","$253,670","A","2111 Ginger Estates Drive","Ginger Lake Estates","101","Conyers","Rockdale","5","3","0","2016","10","01/06/2017","",""
"1","5790162","DET","","$251,338","A","227 Scenic Hills Drive","Heritage Ridge","181","Newnan","Coweta","4","1","0","2016","9","01/06/2017","",""
"1","5790004","DET","","$251,010","A","1102 Deadwood Trail","Shannon Lake","66","Loganville","Gwinnett","4","2","1","2016","20","01/06/2017","",""
"1","5789915","ATT","","$250,000","A","20 Huntington Place Drive Unit#20","Huntington Place","131","Sandy Springs","Fulton","2","2","1","1983","35","01/06/2017","",""
"1","5790159","DET","","$250,000","A","4504 Howell Farms Road NW","Howell Farms","75","Acworth","Cobb","3","2","1","1999","37","01/06/2017","",""
"1","5790281","DET","","$250,000","A","4855 Meadow Ovlk","Wade Valley","222","Cumming","Forsyth","4","2","1","2001","30","01/06/2017","",""
"1","5790042","ATT","","$249,900","A","210 Brantley Road","Winterchase","131","Atlanta","Fulton","3","3","1","1985","30","01/06/2017","",""
"1","5790283","DET","","$249,900","A","145 Cedar Mill Drive","Cedar Mill","191","Dallas","Paulding","4","3","1","2005","29","01/06/2017","",""
"1","5790046","DET","","$249,115","A","1153 Deadwood Trail","Shannon Lake","66","Loganville","Gwinnett","4","2","1","2017","20","01/06/2017","",""
"1","5790440","DET","","$249,000","A","1509 Woodfern Drive","TD DUNN JR","53","Decatur","Dekalb","4","2","0","1953","13","01/07/2017","",""
"1","5789969","DET","","$244,900","A","1585 Deer Cliff Court","Russell Plantation","63","Lawrenceville","Gwinnett","4","3","1","1990","25","01/06/2017","",""
"1","5790382","DET","","$240,244","A","345695 Spring Azalea Court","Silver Springs","73","Powder Springs","Cobb","3","2","0","2017","7","01/07/2017","",""
"1","5789944","ATT","","$240,000","A","504 Gardenia Lane","Gardens at Parkaire","83","Marietta","Cobb","5","3","1","1982","30","01/06/2017","",""
"1","5790047","DET","","$240,000","A","8135 Castleberry Farms Drive","Castleberry Farms","224","Gainesville","Forsyth","6","3","0","1999","18","01/06/2017","",""
"1","5790289","DET","","$240,000","A","22 Ryans Run","Wood Farms","291","Jefferson","Jackson","4","2","2","2004","40","01/06/2017","",""
"1","5790362","DET","","$239,900","A","2109 Shin Court","Hampton Park","63","Buford","Gwinnett","4","2","1","2002","0","01/07/2017","",""
"1","5790018","ATT","","$235,000","A","3959 Covey Flush Court Unit#3959","Barnes Mill","72","Smyrna","Cobb","4","3","1","2007","25","01/06/2017","",""
"1","5789421","DET","","$234,900","A","439 Walnut Street","Walnut Grove","31","Hapeville","Fulton","4","2","1","2017","1","01/06/2017","",""
"1","5790218","DET","","$234,900","A","1342 Fountain Lakes Drive","Fountain Lakes","63","Lawrenceville","Gwinnett","4","3","0","2004","0","01/06/2017","",""
"1","5790158","ATT","","$230,000","A","2479 Peachtree Road NE Unit#1804","Park Lane At Peachtree","21","Atlanta","Fulton","3","2","0","1967","12","01/06/2017","",""
"1","5789946","DET","","$229,900","A","Lot 55 Makers Way","Crawford Falls","278","Dawsonville","Lumpkin","3","2","0","2017","1","01/06/2017","",""
"1","5790192","DET","","$229,900","A","363 Silver Oak Drive","Silver Oak","191","Dallas","Paulding","4","3","0","2015","27","01/06/2017","",""
"1","5790302","DET","","$229,000","A","20 Stream Glen Court","Silver Ridge","151","Covington","Newton","4","3","1","2013","15","01/06/2017","",""
"1","5789966","ATT","","$225,000","A","400 W Peachtree Street NW Unit#3609","Twelve Centennial","22","Atlanta","Fulton","1","1","0","2007","25","01/06/2017","",""
"1","5790150","DET","","$225,000","A","5117 Wade Green Road","None","112","Acworth","Cherokee","3","1","0","1967","19","01/06/2017","",""
"1","5790261","DET","","$225,000","A","2527 Sky Valley Drive","Riverbend","66","Dacula","Gwinnett","3","2","1","1999","29","01/06/2017","",""
"1","5790054","DET","","$224,900","A","1535 Adair Boulevard","Adair Park","223","Cumming","Forsyth","4","2","1","1996","0","01/07/2017","",""
"1","5790436","DET","","$220,000","A","3020 Templeton Lane","Kensington Forest","66","Loganville","Gwinnett","4","2","1","2001","32","01/07/2017","",""
"1","5790363","DET","","$219,990","A","2876 Carousel Court","Carriage Park","65","Stone Mountain","Gwinnett","4","3","1","1982","33","01/07/2017","",""
"1","5790358","DET","","$219,000","A","17 Balsam Drive NW","Four Seasons","203","Cartersville","Bartow","4","2","1","2014","14","01/07/2017","",""
"1","5789970","DET","","$215,000","A","535 Brooksdale Drive","Etowah Valley Estates","112","Woodstock","Cherokee","3","3","0","1992","24","01/06/2017","",""
"1","5790179","DET","","$215,000","A","2071 Terra Court NE","Spring Forest","63","Lawrenceville","Gwinnett","3","2","0","1986","0","01/06/2017","",""
"1","5790202","DET","","$215,000","A","3026 Alston Drive","White Oak Hills","52","Decatur","Dekalb","3","2","0","1951","34","01/06/2017","",""
"1","5790249","DET","","$214,900","A","94 Plantation Way","Picketts Plantation","191","Acworth","Paulding","5","3","0","1986","24","01/06/2017","",""
"1","5790367","DET","","$210,000","A","1359 Great Oaks Court","Oaks Landing","66","Lawrenceville","Gwinnett","4","2","1","1996","40","01/07/2017","",""
"1","5789995","DET","","$208,410","A","3116 Rex Ridge Lane","Promenade At Rex Ridge","161","Rex","Clayton","5","3","0","2017","1","01/06/2017","",""
"1","5790353","DET","","$200,000","A","4108 Shady Drive NW","Beaver Hills","61","Lilburn","Gwinnett","4","2","1","1972","1","01/07/2017","",""
"1","5790387","DET","","$200,000","A","4159 Palm Drive","Ellington Springs","65","Snellville","Gwinnett","4","3","0","2005","4","01/07/2017","",""
"1","5790119","DET","","$199,900","A","1316 Key Manor Lane","Stoneview Manor","63","Lawrenceville","Gwinnett","4","3","0","2014","13","01/06/2017","",""
"1","5789964","DET","","$199,065","A","3110 Rex Ridge Lane","Promenade At Rex Ridge","161","Rex","Clayton","5","3","0","2017","1","01/06/2017","",""
"1","5789985","DET","","$199,000","A","4430 Canterbury Way","Canterbury Farms","222","Cumming","Forsyth","3","2","0","1991","24","01/06/2017","",""
"1","5790148","DET","","$199,000","A","164 Kathryn Drive","Brookhaven","81","Marietta","Cobb","4","2","1","1982","27","01/06/2017","",""
"1","5790347","DET","","$195,900","A","4295 Celebration Drive SW","Reunion Place","33","Atlanta","Fulton","4","2","1","1999","38","01/07/2017","",""
"1","5790199","DET","","$195,000","A","2285 BRETDALE ROAD","BERKELY TRAIL","61","Duluth","Gwinnett","3","2","0","1992","13","01/06/2017","",""
"1","5774699","DET","","$194,900","A","1821 Avon Avenue SW","N Ragsdale Prop","31","Atlanta","Fulton","4","2","0","1948","27","01/06/2017","",""
